آ	N$آ+SG
تباهش	N$تباه+SG PRO3SG
تباهم	N$تباه+SG PRO1SG
تباهی	N$تباهی+SG
تباهیست	N$تباهی+SG COP3SG
تباهیم	N$تباهی+SG COP1SG#SG PRO1SG
تبت	N$تبت+SG*تب+SG PRO2SG
تبتش	N$تبت+SG PRO3SG
تبتل	N$تبتل+SG
تبتی	N$تبت+SG YEH#SG COP2SG*تب+SG PRO2SG YEH#SG PRO2SG COP2SG
تبجیل	N$تبجیل+SG
تبحر	N$تبحر+SG
تبخال	N$تبخال+SG
تبخاله	N$تبخاله+SG
تبخاله‌ای	N$تبخاله+SG COP2SG
تبخاله‌ی	N$تبخاله+SG COP2SG#SG EZ
تبختر	N$تبختر+SG
تبدل	N$تبدل+SG
تبدلی	N$تبدل+SG YEH#SG COP2SG
تبدی	N$تبد+SG YEH#SG COP2SG
تبدیل	N$تبدیل+SG
تبدیلت	N$تبدیل+SG PRO2SG
تبدیلش	N$تبدیل+SG PRO3SG
تبدیلها	N$تبدیل+PL
تبدیلهای	N$تبدیل+PL EZ#PL COP2SG
تبدیلی	N$تبدیل+SG YEH#SG COP2SG
تبدیل‌ها	N$تبدیل+PL
تبذیر	N$تبذیر+SG
تبر	N$تبر+SG
تبرا	N$تب+SG POSTP*تبرا+SG
تبراست	N$تبرا+SG COP3SG
تبرای	N$تبرا+SG COP2SG#SG EZ
تبرایی	N$تبرا+SG YEH
تبرت	N$تبر+SG PRO2SG
تبردی	N$تبرد+SG YEH#SG COP2SG
تبرزد	N$تبرزد+SG
تبرزن	N$تبرزن+SG
تبرزین	N$تبرزین+SG
تبرزینم	N$تبرزین+SG COP1SG#SG PRO1SG
تبرزینی	N$تبرزین+SG YEH#SG COP2SG
تبرست	N$تبر+SG COP3SG
تبرم	N$تبر+SG COP1SG#SG PRO1SG*تبرم+SG
تبرند	N$تبر+SG COP3PL
تبرک	N$تبرک+SG
تبری	N$تبر+SG YEH#SG COP2SG*تبری+SG
تبریز	N$تبریز+SG
تبریزت	N$تبریز+SG PRO2SG
تبریزست	N$تبریز+SG COP3SG
تبریزم	N$تبریز+SG COP1SG#SG PRO1SG
تبریزند	N$تبریز+SG COP3PL
تبریزهای	N$تبریز+PL EZ#PL COP2SG
تبریزی	N$تبریزی+SG*تبریز+SG YEH#SG COP2SG
تبریزیان	N$تبریزی+PL
تبریزیت	N$تبریزی+SG PRO2SG
تبریزیست	N$تبریزی+SG COP3SG*تبریز+SG YEH COP3SG
تبریزیش	N$تبریزی+SG PRO3SG
تبریزیم	N$تبریزی+SG COP1SG#SG PRO1SG*تبریز+SG COP1PL#SG YEH COP1SG
تبریزیی	N$تبریزی+SG COP2SG#SG EZ*تبریز+SG YEH COP2SG
تبست	N$تب+SG COP3SG
تبسم	N$تبسم+SG
تبسمت	N$تبسم+SG PRO2SG
تبسمم	N$تبسم+SG COP1SG#SG PRO1SG
تبسمهای	N$تبسم+PL EZ#PL COP2SG
تبسمی	N$تبسم+SG YEH#SG COP2SG
تبش	N$تبش+SG*تب+SG PRO3SG
تبشان	N$تبش+PL*تب+SG PRO3PL
تبشست	N$تبش+SG COP3SG*تب+SG PRO3SG COP3SG
تبشم	N$تبش+SG COP1SG#SG PRO1SG*تب+SG PRO3SG COP1SG
تبشهای	N$تبش+PL EZ#PL COP2SG
تبشی	N$تبش+SG YEH#SG COP2SG*تب+SG PRO3SG YEH#SG PRO3SG COP2SG
تبصرت	N$تبصرت+SG
تبصره	N$تبصره+SG
تبع	N$تبع+SG
تبعیت	N$تبعی+SG PRO2SG*تبعیت+SG
تبغیض	N$تبغیض+SG
تبل	N$تبل+SG
تبلجت	N$تبلج+SG PRO2SG
تبلی	N$تبل+SG YEH#SG COP2SG
تبلیغ	N$تبلیغ+SG
تبم	N$تب+SG COP1SG#SG PRO1SG
تبند	N$تب+SG COP3PL*تبند+SG
تبه	N$تبه+SG
تبها	N$تب+PL
تبوراک	N$تبوراک+SG
تبوراکست	N$تبوراک+SG COP3SG
تبوک	N$تبوک+SG
تبی	N$تب+SG YEH#SG COP2SG
تبیر	N$تبیر+SG
تبیره	N$تبیره+SG
تبیره‌زنان	N$تبیره‌زن+PL
تبیری	N$تبیر+SG YEH#SG COP2SG
تبیست	N$تب+SG YEH COP3SG
تبیم	N$تب+SG COP1PL#SG YEH COP1SG
تبین	N$تبین+SG
تبیین	N$تبیین+SG
تب‌ها	N$تب+PL
تب‌هاست	N$تب+PL COP3SG
تب‌های	N$تب+PL EZ#PL COP2SG
تتار	N$تتار+SG
تتاران	N$تتار+PL
تتارست	N$تتار+SG COP3SG
تتارم	N$تتار+SG COP1SG#SG PRO1SG
تتارند	N$تتار+SG COP3PL
تتاری	N$تتار+SG YEH#SG COP2SG
تتاریست	N$تتار+SG YEH COP3SG
تتبع	N$تتبع+SG
تتر	N$تتر+SG
تترت	N$تتر+SG PRO2SG
تتری	N$تتر+SG YEH#SG COP2SG
تتق	N$تتق+SG
تتقش	N$تتق+SG PRO3SG
تتقها	N$تتق+PL
تتقی	N$تتق+SG YEH#SG COP2SG
تتقیست	N$تتق+SG YEH COP3SG
تتق‌های	N$تتق+PL EZ#PL COP2SG
تتماج	N$تتماج+SG
تتماجست	N$تتماج+SG COP3SG
تتماجش	N$تتماج+SG PRO3SG
تتماجی	N$تتماج+SG YEH#SG COP2SG*تتماجی+SG
تتمه	N$تتمه+SG
تتمه‌ی	N$تتمه+SG COP2SG#SG EZ
تتو	N$تتو+SG
تثلیث	N$تثلیث+SG
تثلیثی	N$تثلیث+SG YEH#SG COP2SG
تجار	N$تجار+SG
تجارب	N$تجارب+SG
تجارت	N$تجار+SG PRO2SG*تجارت+SG
تجارتها	N$تجارت+PL
تجارتی	N$تجار+SG PRO2SG YEH#SG PRO2SG COP2SG*تجارت+SG YEH#SG COP2SG
تجاری	N$تجار+SG YEH#SG COP2SG
تجاسر	N$تجاسر+SG
تجاسری	N$تجاسر+SG YEH#SG COP2SG
تجافی	N$تجافی+SG
تجانس	N$تجانس+SG
تجاوز	N$تجاوز+SG
تجاوزیست	N$تجاوز+SG YEH COP3SG
تجاویف	N$تجاویف+SG
تجبر	N$تجبر+SG
تجدید	N$تجدید+SG
تجربت	N$تجربت+SG
تجربتش	N$تجربت+SG PRO3SG
تجربتم	N$تجربت+SG COP1SG#SG PRO1SG
تجربتهای	N$تجربت+PL EZ#PL COP2SG
تجربه	N$تجربه+SG
تجربه‌ها	N$تجربه+PL
تجربه‌ی	N$تجربه+SG COP2SG#SG EZ
تجرد	N$تجرد+SG
تجری	N$تجر+SG YEH#SG COP2SG*تجری+SG
تجرید	N$تجرید+SG*تجر+SG COP2PL
تجریدت	N$تجرید+SG PRO2SG
تجریدیم	N$تجرید+SG COP1PL#SG YEH COP1SG
تجزی	N$تجزی+SG
تجزیه	N$تجزیه+SG
تجسس	N$تجسس+SG
تجشم	N$تجشم+SG
تجلا	N$تجلا+SG
تجلای	N$تجلا+SG COP2SG#SG EZ
تجلایی	N$تجلا+SG YEH
تجلی	N$تجلی+SG
تجلیت	N$تجلی+SG PRO2SG
تجلیست	N$تجلی+SG COP3SG
تجلیش	N$تجلی+SG PRO3SG
تجلیل	N$تجلیل+SG
تجلیهای	N$تجلی+PL EZ#PL COP2SG
تجلیهایم	N$تجلی+PL PRO1SG#PL COP1PL
تجلیی	N$تجلی+SG COP2SG#SG EZ
تجلی‌هاش	N$تجلی+PL PRO3SG
تجلی‌های	N$تجلی+PL EZ#PL COP2SG
تجمش	N$تجمش+SG
تجمل	N$تجمل+SG
تجملش	N$تجمل+SG PRO3SG
تجملها	N$تجمل+PL
تجملی	N$تجمل+SG YEH#SG COP2SG
تجمل‌های	N$تجمل+PL EZ#PL COP2SG
تجنی	N$تجنی+SG
تجنیس	N$تجنیس+SG
تجنیست	N$تجنیس+SG PRO2SG*تجنی+SG COP3SG
تجهیز	N$تجهیز+SG
تجهیزش	N$تجهیز+SG PRO3SG
تجهیزشان	N$تجهیز+SG PRO3PL
تجهیل	N$تجهیل+SG
تجوز	N$تجوز+SG
تجوع	N$تجوع+SG
تجوید	N$تجوید+SG
تجویف	N$تجویف+SG
تحاشی	N$تحاشی+SG
تحامل	N$تحامل+SG
تحت	N$تحت+SG
تحتانی	N$تحت+PL YEH#PL COP2SG
تحتم	N$تحت+SG COP1SG#SG PRO1SG*تحتم+SG
تحتها	N$تحت+PL
تحتی	N$تحت+SG YEH#SG COP2SG
تحت‌الارض	N$تحت‌الارض+SG
تحت‌الثری	N$تحت‌الثری+SG
تحت‌الحنکی	N$تحت‌الحنک+SG YEH#SG COP2SG
تحدث	N$تحدث+SG
تحدی	N$تحدی+SG
تحدید	N$تحدید+SG
تحذر	N$تحذر+SG
تحذیر	N$تحذیر+SG
تحرک	N$تحرک+SG
تحرکت	N$تحرک+SG PRO2SG
تحرکش	N$تحرک+SG PRO3SG
تحرکی	N$تحرک+SG YEH#SG COP2SG
تحری	N$تحری+SG
تحریر	N$تحریر+SG
تحریرش	N$تحریر+SG PRO3SG
تحریرها	N$تحریر+PL
تحریف	N$تحریف+SG
تحریم	N$تحری+SG COP1SG#SG PRO1SG
تحریمه	N$تحریمه+SG
تحریک	N$تحریک+SG
تحریی	N$تحری+SG COP2SG#SG EZ
تحزن	N$تحزن+SG
تحسر	N$تحسر+SG
تحسرش	N$تحسر+SG PRO3SG
تحسری	N$تحسر+SG YEH#SG COP2SG
تحسین	N$تحسین+SG
تحسینت	N$تحسین+SG PRO2SG
تحسینش	N$تحسین+SG PRO3SG
تحسینشان	N$تحسین+SG PRO3PL
تحسینم	N$تحسین+SG COP1SG#SG PRO1SG
تحسینند	N$تحسین+SG COP3PL
تحسینی	N$تحسین+SG YEH#SG COP2SG
تحسینیست	N$تحسین+SG YEH COP3SG
تحصل	N$تحصل+SG
تحصیل	N$تحصیل+SG
تحصیلت	N$تحصیل+SG PRO2SG
تحصیلدار	N$تحصیلدار+SG
تحصیلی	N$تحصیل+SG YEH#SG COP2SG
تحفظ	N$تحفظ+SG
تحفه	N$تحفه+SG
تحفها	N$تحف+PL
تحفهای	N$تحف+PL EZ#PL COP2SG
تحفه‌ئی	N$تحفه+SG YEH
تحفه‌ات	N$تحفه+SG PRO2SG
تحفه‌ای	N$تحفه+SG COP2SG
تحفه‌شان	N$تحفه+SG PRO3PL
تحفه‌ها	N$تحفه+PL
تحفه‌هاش	N$تحفه+PL PRO3SG
تحفه‌هامان	N$تحفه+PL PRO1PL
تحفه‌های	N$تحفه+PL EZ#PL COP2SG
تحفه‌هاییست	N$تحفه+PL YEH COP3SG
تحفه‌ی	N$تحفه+SG COP2SG#SG EZ
تحقق	N$تحقق+SG
تحقیر	N$تحقیر+SG
تحقیق	N$تحقیق+SG
تحقیقات	N$تحقیقات+SG
تحقیقت	N$تحقیق+SG PRO2SG
تحقیقش	N$تحقیق+SG PRO3SG
تحقیقشان	N$تحقیق+SG PRO3PL
تحقیقم	N$تحقیق+SG COP1SG#SG PRO1SG
تحقیقها	N$تحقیق+PL
تحقیقی	N$تحقیق+SG YEH#SG COP2SG
تحقیق‌ها	N$تحقیق+PL
تحلی	N$تحلی+SG
تحلیش	N$تحلی+SG PRO3SG
تحلیل	N$تحلیل+SG
تحلیها	N$تحلی+PL
تحمل	N$تحمل+SG
تحملت	N$تحمل+SG PRO2SG
تحملست	N$تحمل+SG COP3SG
تحملش	N$تحمل+SG PRO3SG
تحملم	N$تحمل+SG COP1SG#SG PRO1SG
تحملی	N$تحمل+SG YEH#SG COP2SG
تحمل‌ها	N$تحمل+PL
تحمید	N$تحمید+SG
تحمیق	N$تحمیق+SG
تحول	N$تحول+SG
تحولی	N$تحول+SG YEH#SG COP2SG
تحویل	N$تحویل+SG
تحویلش	N$تحویل+SG PRO3SG
تحویلم	N$تحویل+SG COP1SG#SG PRO1SG
تحویلی	N$تحویل+SG YEH#SG COP2SG
تحویل‌های	N$تحویل+PL EZ#PL COP2SG
تحکم	N$تحکم+SG
تحکمت	N$تحکم+SG PRO2SG
تحیات	N$تحیات+SG
تحیاتی	N$تحیات+SG YEH#SG COP2SG
تحیت	N$تحیت+SG
تحیتی	N$تحیت+SG YEH#SG COP2SG
تحیر	N$تحیر+SG
تحیرش	N$تحیر+SG PRO3SG
تحیرم	N$تحیر+SG COP1SG#SG PRO1SG
تحیرهای	N$تحیر+PL EZ#PL COP2SG
تحیری	N$تحیر+SG YEH#SG COP2SG
تحیریست	N$تحیر+SG YEH COP3SG
تخالف	N$تخالف+SG
تخت	N$تخت+SG
تختت	N$تخت+SG PRO2SG
تختست	N$تخت+SG COP3SG
تختش	N$تخت+SG PRO3SG
تختشان	N$تخت+SG PRO3PL
تختم	N$تخت+SG COP1SG#SG PRO1SG
تختند	N$تخت+SG COP3PL
تخته	N$تخته+SG
تختها	N$تخت+PL
تختهاش	N$تخت+PL PRO3SG
تختهاشان	N$تخت+PL PRO3PL
تختهای	N$تخت+PL EZ#PL COP2SG
تختهایش	N$تخت+PL PRO3SG
تخته‌ئی	N$تخته+SG YEH
تخته‌ای	N$تخته+SG COP2SG
تخته‌بند	N$تخته‌بند+SG
تخته‌بندان	N$تخته‌بند+PL
تخته‌بندست	N$تخته‌بند+SG COP3SG
تخته‌بندی	N$تخته‌بند+SG YEH#SG COP2SG*تخته‌بندی+SG
تخته‌نرد	N$تخته‌نرد+SG
تخته‌ها	N$تخته+PL
تخته‌هاش	N$تخته+PL PRO3SG
تخته‌های	N$تخته+PL EZ#PL COP2SG
تخته‌پاره‌ها	N$تخته‌پاره+PL
تخته‌ی	N$تخته+SG COP2SG#SG EZ
تختگاه	N$تختگاه+SG
تختگاهت	N$تختگاه+SG PRO2SG
تختگاهش	N$تختگاه+SG PRO3SG
تختگاهی	N$تختگاهی+SG
تختی	N$تخت+SG YEH#SG COP2SG
تخت‌اند	N$تخت+SG COP3PL
تخت‌نشین	N$تخت‌نشین+SG
تخت‌نشینان	N$تخت‌نشین+PL
تخت‌ها	N$تخت+PL
تخت‌هاش	N$تخت+PL PRO3SG
تخت‌های	N$تخت+PL EZ#PL COP2SG
تخت‌گیری	N$تخت‌گیری+SG
تخریب	N$تخریب+SG
تخریج	N$تخریج+SG
تخریج‌ها	N$تخریج+PL
تخریق	N$تخریق+SG
تخسی	N$تخسی+SG
تخش	N$تخش+SG
تخشی	N$تخش+SG YEH#SG COP2SG
تخصیص	N$تخصیص+SG
تخفیف	N$تخفیف+SG
تخفیفی	N$تخفیف+SG YEH#SG COP2SG
تخلخل	N$تخلخل+SG
تخلص	N$تخلص+SG
تخلف	N$تخلف+SG
تخلی	N$تخلی+SG
تخلیص	N$تخلیص+SG
تخلیط	N$تخلیط+SG
تخلیطی	N$تخلیط+SG YEH#SG COP2SG
تخم	N$تخم+SG
تخمت	N$تخم+SG PRO2SG
تخمست	N$تخم+SG COP3SG
تخمش	N$تخم+SG PRO3SG
تخمم	N$تخم+SG COP1SG#SG PRO1SG
تخمه	N$تخمه+SG
تخمها	N$تخم+PL
تخمهاست	N$تخم+PL COP3SG
تخمهای	N$تخم+PL EZ#PL COP2SG
تخمه‌ام	N$تخمه+SG COP1SG#SG PRO1SG
تخمه‌ایم	N$تخمه+SG COP1PL
تخمه‌ها	N$تخمه+PL
تخمه‌ی	N$تخمه+SG COP2SG#SG EZ
تخمه‌یی	N$تخمه+SG YEH
تخمکان	N$تخمک+PL
تخمی	N$تخم+SG YEH#SG COP2SG*تخمی+SG
تخمیر	N$تخمیر+SG
تخمیست	N$تخم+SG YEH COP3SG*تخمی+SG COP3SG
تخمیش	N$تخمی+SG PRO3SG
تخمیم	N$تخم+SG COP1PL#SG YEH COP1SG*تخمی+SG COP1SG#SG PRO1SG
تخمین	N$تخمین+SG
تخمینی	N$تخمین+SG YEH#SG COP2SG
تخمی‌ست	N$تخم+SG YEH COP3SG*تخمی+SG COP3SG
تخم‌ست	N$تخم+SG COP3SG
تخم‌ها	N$تخم+PL
تخویف	N$تخویف+SG
تخویفند	N$تخویف+SG COP3PL
تخیل	N$تخیل+SG
تخیلش	N$تخیل+SG PRO3SG
تخییل	N$تخییل+SG
تخییلها	N$تخییل+PL
تخییلهاست	N$تخییل+PL COP3SG
تخییلیی	N$تخییل+SG YEH COP2SG
تخییل‌ها	N$تخییل+PL
تدارک	N$تدارک+SG
تداویت	N$تداوی+SG PRO2SG
تدبر	N$تدبر+SG
تدبیر	N$تدبیر+SG
تدبیرت	N$تدبیر+SG PRO2SG
تدبیرساز	N$تدبیرساز+SG
تدبیرست	N$تدبیر+SG COP3SG
تدبیرش	N$تدبیر+SG PRO3SG
تدبیرم	N$تدبیر+SG COP1SG#SG PRO1SG
تدبیرها	N$تدبیر+PL
تدبیرهات	N$تدبیر+PL PRO2SG
تدبیرهای	N$تدبیر+PL EZ#PL COP2SG
تدبیرگر	N$تدبیرگر+SG
تدبیری	N$تدبیر+SG YEH#SG COP2SG
تدبیریم	N$تدبیر+SG COP1PL#SG YEH COP1SG
تدریج	N$تدریج+SG
تدریجی	N$تدریج+SG YEH#SG COP2SG
تدریس	N$تدریس+SG
تدقیقات	N$تدقیقات+SG
تدلی	N$تدلی+SG
تدنی	N$تدنی+SG
تدویر	N$تدویر+SG
تذرو	N$تذرو+SG
تذروان	N$تذرو+PL
تذروش	N$تذرو+SG PRO3SG
تذروم	N$تذرو+SG COP1SG#SG PRO1SG
تذروی	N$تذرو+SG COP2SG#SG EZ
تذلل	N$تذلل+SG
تذلیل	N$تذلیل+SG
تذهیب	N$تذهیب+SG
تذکار	N$تذکار+SG
تذکارها	N$تذکار+PL
تذکر	N$تذکر+SG
تذکره	N$تذکره+SG
تذکره‌ای	N$تذکره+SG COP2SG
تذکره‌ی	N$تذکره+SG COP2SG#SG EZ
تذکیر	N$تذکیر+SG
تذکیرش	N$تذکیر+SG PRO3SG
تر	N$تر+SG
ترا	N$ترا+SG*ت+SG POSTP
ترائیم	N$ترا+SG YEH COP1SG
تراب	N$تراب+SG
ترابستی	N$تراب+SG COP2SG
ترابش	N$تراب+SG PRO3SG
ترابی	N$تراب+SG YEH#SG COP2SG
تراجع	N$تراجع+SG
تراجعی	N$تراجع+SG YEH#SG COP2SG
تراخی	N$تراخی+SG
تراز	N$تراز+SG
ترازان	N$تراز+PL
ترازو	N$ترازو+SG
ترازوئی	N$ترازو+SG YEH
ترازوت	N$ترازو+SG PRO2SG
ترازوست	N$ترازو+SG COP3SG
ترازوش	N$ترازو+SG PRO3SG
ترازوها	N$ترازو+PL
ترازوی	N$ترازو+SG COP2SG#SG EZ
ترازویش	N$ترازو+SG PRO3SG
ترازویم	N$ترازو+SG PRO1SG#SG COP1PL
ترازویی	N$ترازو+SG YEH
ترازوییست	N$ترازو+SG YEH COP3SG
تراس	N$تراس+SG
تراست	N$تراس+SG PRO2SG*تراست+SG*ترا+SG COP3SG
تراستم	N$تراس+SG PRO2SG COP1SG*تراست+SG COP1SG#SG PRO1SG*ترا+SG COP1SG
تراش	N$ترا+SG PRO3SG*تراش+SG
تراشان	N$ترا+SG PRO3PL*تراش+PL
تراشش	N$تراش+SG PRO3SG
تراشم	N$ترا+SG PRO3SG COP1SG*تراش+SG COP1SG#SG PRO1SG
تراشند	N$ترا+SG PRO3SG COP3PL*تراش+SG COP3PL
تراشه‌ی	N$تراشه+SG COP2SG#SG EZ
تراشی	N$ترا+SG PRO3SG YEH#SG PRO3SG COP2SG*تراش+SG YEH#SG COP2SG
تراشید	N$ترا+SG PRO3SG COP2PL*تراش+SG COP2PL
تراشیم	N$ترا+SG PRO3SG YEH COP1SG#SG PRO3SG COP1PL*تراش+SG COP1PL#SG YEH COP1SG
تران	N$تر+PL
تراند	N$ترا+SG COP3PL
ترانم	N$تر+PL PRO1SG#PL COP1SG
ترانه‌ساز	N$ترانه‌ساز+SG
ترانگبین	N$ترانگبین+SG
ترانی	N$تر+PL YEH#PL COP2SG
تراوش	N$تراوش+SG
تراوشهای	N$تراوش+PL EZ#PL COP2SG
تراویح	N$تراویح+SG
تراویده	N$تراویده+SG
تراک	N$تراک+SG
تراکم	N$تراک+SG COP1SG#SG PRO1SG*تراکم+SG
تراکی	N$تراک+SG YEH#SG COP2SG
تراکیست	N$تراک+SG YEH COP3SG
ترای	N$ترا+SG COP2SG#SG EZ
ترایم	N$ترا+SG PRO1SG#SG COP1PL
تراییم	N$ترا+SG YEH COP1SG
ترب	N$ترب+SG
تربت	N$تربت+SG*ترب+SG PRO2SG
تربتت	N$تربت+SG PRO2SG
تربتش	N$تربت+SG PRO3SG
تربتشان	N$تربت+SG PRO3PL
تربتم	N$تربت+SG COP1SG#SG PRO1SG*ترب+SG PRO2SG COP1SG
تربتی	N$تربت+SG YEH#SG COP2SG*ترب+SG PRO2SG YEH#SG PRO2SG COP2SG
تربد	N$تربد+SG
تربدی	N$تربد+SG YEH#SG COP2SG
تربه	N$تربه+SG
تربی	N$تربی+SG*ترب+SG YEH#SG COP2SG
تربیت	N$تربی+SG PRO2SG*تربیت+SG
تربیتت	N$تربیت+SG PRO2SG
تربیتست	N$تربی+SG PRO2SG COP3SG*تربیت+SG COP3SG
تربیتش	N$تربیت+SG PRO3SG
تربیتم	N$تربی+SG PRO2SG COP1SG*تربیت+SG COP1SG#SG PRO1SG
تربیتها	N$تربیت+PL
تربیتی	N$تربی+SG PRO2SG YEH#SG PRO2SG COP2SG*تربیت+SG YEH#SG COP2SG
تربیع	N$تربیع+SG
تربیعی	N$تربیع+SG YEH#SG COP2SG
ترت	N$تر+SG PRO2SG
ترتیب	N$ترتیب+SG
ترتیبها	N$ترتیب+PL
ترتیبی	N$ترتیب+SG YEH#SG COP2SG
ترتیب‌ها	N$ترتیب+PL
ترجم	N$ترجم+SG
ترجمان	N$ترجمان+SG*ترجم+PL
ترجمانان	N$ترجمان+PL
ترجمانت	N$ترجمان+SG PRO2SG*ترجم+PL PRO2SG
ترجمانست	N$ترجمان+SG COP3SG*ترجم+PL COP3SG
ترجمانستی	N$ترجمان+SG COP2SG*ترجم+PL COP2SG
ترجمانش	N$ترجمان+SG PRO3SG*ترجم+PL PRO3SG
ترجمانم	N$ترجمان+SG COP1SG#SG PRO1SG*ترجم+PL PRO1SG#PL COP1SG
ترجمانمی	N$ترجمان+SG PRO1SG COP2SG#SG PRO1SG YEH*ترجم+PL PRO1SG YEH#PL PRO1SG COP2SG
ترجمانهاست	N$ترجمان+PL COP3SG
ترجمانی	N$ترجمان+SG YEH#SG COP2SG*ترجم+PL YEH#PL COP2SG
ترجمانیی	N$ترجمان+SG YEH COP2SG*ترجم+PL YEH COP2SG
ترجمتش	N$ترجمت+SG PRO3SG
ترجمه	N$ترجمه+SG
ترجمه‌ی	N$ترجمه+SG COP2SG#SG EZ
ترجی	N$ترجی+SG
ترجیح	N$ترجیح+SG
ترجیع	N$ترجیع+SG
ترجیعست	N$ترجیع+SG COP3SG
ترجیعش	N$ترجیع+SG PRO3SG
ترجیعی	N$ترجیع+SG YEH#SG COP2SG
ترح	N$ترح+SG
ترحال	N$ترحال+SG
ترحال‌ها	N$ترحال+PL
ترحلوا	N$ترحلوا+SG
ترحم	N$ترحم+SG*ترح+SG COP1SG#SG PRO1SG
ترحمش	N$ترحم+SG PRO3SG
ترحمی	N$ترحم+SG YEH#SG COP2SG*ترح+SG PRO1SG COP2SG#SG PRO1SG YEH
ترحیبش	N$ترحیب+SG PRO3SG
ترخان	N$ترخان+SG
ترخانی	N$ترخان+SG YEH#SG COP2SG*ترخانی+SG
ترخون	N$ترخون+SG
ترخینه	N$ترخینه+SG
ترخینه‌ای	N$ترخینه+SG COP2SG
تردامنی	N$تردامنی+SG
تردامنیها	N$تردامنی+PL
تردد	N$تردد+SG
ترددم	N$تردد+SG COP1SG#SG PRO1SG
ترددها	N$تردد+PL
تردست	N$تردست+SG
تردستی	N$تردستی+SG*تردست+SG YEH#SG COP2SG
تردستیم	N$تردستی+SG COP1SG#SG PRO1SG*تردست+SG COP1PL#SG YEH COP1SG
تردید	N$تردید+SG
ترس	N$ترس+SG
ترسا	N$ترسا+SG
ترسائی	N$ترسا+SG YEH
ترسائیم	N$ترسا+SG YEH COP1SG
ترسابچه	N$ترسابچه+SG
ترسابچه‌ای	N$ترسابچه+SG COP2SG
ترسازاده	N$ترسازاده+SG
ترسازاده‌ای	N$ترسازاده+SG COP2SG
ترساست	N$ترسا+SG COP3SG
ترساستی	N$ترسا+SG COP2SG
ترسام	N$ترسا+SG COP1SG#SG PRO1SG
ترسان	N$ترس+PL
ترساند	N$ترسا+SG COP3PL
ترسانم	N$ترس+PL PRO1SG#PL COP1SG
ترسانند	N$ترس+PL COP3PL
ترسانی	N$ترس+PL YEH#PL COP2SG
ترسانیست	N$ترس+PL YEH COP3SG
ترسانییم	N$ترس+PL YEH COP1PL
ترسای	N$ترسا+SG COP2SG#SG EZ
ترسایی	N$ترسا+SG YEH*ترسایی+SG
ترساییی	N$ترسا+SG YEH COP2SG*ترسایی+SG COP2SG#SG EZ
ترست	N$ترس+SG PRO2SG*ترست+SG*تر+SG COP3SG
ترستم	N$ترس+SG PRO2SG COP1SG*ترست+SG COP1SG#SG PRO1SG*تر+SG COP1SG
ترستی	N$ترس+SG PRO2SG YEH#SG PRO2SG COP2SG*ترست+SG YEH#SG COP2SG*تر+SG COP2SG
ترسست	N$ترس+SG COP3SG
ترسش	N$ترس+SG PRO3SG
ترسل	N$ترسل+SG
ترسلش	N$ترسل+SG PRO3SG
ترسم	N$ترسم+SG*ترس+SG COP1SG#SG PRO1SG
ترسمت	N$ترسم+SG PRO2SG
ترسمش	N$ترسم+SG PRO3SG
ترسناکی	N$ترسناکی+SG
ترسند	N$ترس+SG COP3PL
ترسها	N$ترس+PL
ترسهاست	N$ترس+PL COP3SG
ترسکاری	N$ترسکاری+SG
ترسی	N$ترس+SG YEH#SG COP2SG
ترسید	N$ترس+SG COP2PL
ترسیم	N$ترسیم+SG*ترس+SG COP1PL#SG YEH COP1SG
ترش	N$ترش+SG*تر+SG PRO3SG
ترشان	N$ترش+PL*تر+SG PRO3PL
ترشانش	N$ترش+PL PRO3SG
ترشح	N$ترشح+SG
ترشحش	N$ترشح+SG PRO3SG
ترشحی	N$ترشح+SG YEH#SG COP2SG
ترشست	N$ترش+SG COP3SG*تر+SG PRO3SG COP3SG
ترشش	N$ترش+SG PRO3SG
ترشم	N$ترش+SG COP1SG#SG PRO1SG*تر+SG PRO3SG COP1SG
ترشند	N$ترش+SG COP3PL*تر+SG PRO3SG COP3PL
ترشک	N$ترشک+SG
ترشی	N$ترش+SG YEH#SG COP2SG*تر+SG PRO3SG YEH#SG PRO3SG COP2SG
ترشیی	N$ترش+SG YEH COP2SG*تر+SG PRO3SG YEH COP2SG
ترش‌با	N$ترش‌با+SG
ترش‌رو	N$ترش‌رو+SG
ترش‌رویی	N$ترش‌رو+SG YEH
ترش‌های	N$ترش+PL EZ#PL COP2SG
ترصد	N$ترصد+SG
ترصیع	N$ترصیع+SG
ترطیب	N$ترطیب+SG
ترغیب	N$ترغیب+SG
ترف	N$ترف+SG
ترفت	N$ترف+SG PRO2SG
ترفع	N$ترفع+SG
ترفنج	N$ترفنج+SG
ترفند	N$ترف+SG COP3PL*ترفند+SG
ترفندت	N$ترفند+SG PRO2SG
ترفندها	N$ترفند+PL
ترفندی	N$ترفند+SG YEH#SG COP2SG
ترفی	N$ترف+SG YEH#SG COP2SG
ترفیع	N$ترفیع+SG
ترفیه	N$ترفیه+SG
ترقی	N$ترقی+SG
ترقیست	N$ترقی+SG COP3SG
ترقیش	N$ترقی+SG PRO3SG
ترقین	N$ترقین+SG
ترقیی	N$ترقی+SG COP2SG#SG EZ
ترم	N$ترم+SG*تر+SG COP1SG#SG PRO1SG
ترمزاج	N$ترمزاج+SG
