آ	N$آ+SG#
ازخم	AJ$خم+PREP POS#N$خم+PREP SG#
ازخمار	N$خمار+PREP SG#
ازخنجر	N$خنجر+PREP SG#
ازخواب	N$خواب+PREP SG#
ازخواسته	N$خواسته+PREP SG#
ازخود	N$خود+PREP SG#
ازخورش	N$خور+PREP SG PRO3SG#خورش+PREP SG#
ازخون	N$خون+PREP SG#
ازخویش	N$خویش+PREP SG#خو+PREP SG PRO3SG#
ازدام	N$دام+PREP SG#
ازدامن	N$دامن+PREP SG#
ازدحام	N$ازدحام+SG#
ازدحامی	N$ازدحام+SG YEH#SG COP2SG#
ازدر	AJ$ازدر+POS#N$در+PREP SG#
ازدرت	AJ$ازدر+POS PRO2SG#N$در+PREP SG PRO2SG#
ازدرد	N$درد+PREP SG#
ازدرگه	N$درگه+PREP SG#
ازدست	N$دست+PREP SG#
ازدشت	N$دشت+PREP SG#
ازدل	N$دل+PREP SG#
ازدلها	N$دل+PREP PL#
ازدلهای	N$دل+PREP PL COP2SG#PREP PL EZ#
ازدلیران	N$دلیر+PREP PL#
ازدم	N$دم+PREP SG#
ازدهن	N$دهن+PREP SG#
ازدواج	N$ازدواج+SG#دواج+PREP SG#
ازدواجات	N$دوا+PREP PL#دواجات+PREP SG#
ازدود	N$دود+PREP SG#
ازدیاد	N$ازدیاد+SG#
ازدیادی	N$ازدیاد+SG YEH#SG COP2SG#
ازدیدشان	N$دید+PREP SG PRO3PL#
ازدیدن	N$دیدن+PREP SG#
ازدیده	N$دیده+PREP SG#
ازرخ	N$رخ+PREP SG#
ازرفعت	N$رفع+PREP SG PRO2SG#رفعت+PREP SG#
ازرق	AJ$ازرق+POS#
ازرقست	AJ$ازرق+POS COP3SG#
ازرقش	AJ$ازرق+POS PRO3SG#
ازرقی	AJ$ازرق+POS COP2SG#POS YEH#
ازرق‌پوش	AJ$ازرق‌پوش+POS#N$ازرق‌پوش+SG#
ازرم	N$ر+PREP SG COP1SG#PREP SG PRO1SG#رم+PREP SG#
اززنده	AJ$زنده+PREP POS#N$زنده+PREP SG#
اززندگانی	N$زندگان+PREP SG COP2SG#PREP SG YEH#زنده+PREP PL YEH#PREP PL COP2SG#زندگانی+PREP SG#
ازسر	AJ$سر+PREP POS#N$سر+PREP SG#
ازسماع	N$سماع+PREP SG#
ازسین	N$سین+PREP SG#
ازسینه	N$سینه+PREP SG#
ازشان	AJ$+PREP POS PRO3PL#N$+PREP SG PRO3PL#ناشنوائیان+PREP PL PRO3PL#شان+PREP SG#از+SG PRO3PL#
ازشاه	N$شاه+PREP SG#
ازشبهای	N$شب+PREP PL COP2SG#PREP PL EZ#
ازشراب	N$شراب+PREP SG#
ازشرم	N$شرم+PREP SG#شر+PREP SG COP1SG#PREP SG PRO1SG#
ازشهنشاه	N$شهنشاه+PREP SG#
ازصحبت	N$صحبت+PREP SG#
ازطاق	AJ$طاق+PREP POS#N$طاق+PREP SG#
ازطرف	N$طرفه+PREP PL#طرف+PREP SG#طریق+PREP PL#
ازطریق	N$طریق+PREP SG#
ازطلبت	N$طلب+PREP SG PRO2SG#
ازعشقست	N$عشق+PREP SG COP3SG#
ازعنان	N$عنان+PREP SG#
ازعود	N$عود+PREP SG#
ازعیش	N$عیش+PREP SG#
ازغریو	N$غریو+PREP SG#
ازغم	N$ازغ+SG PRO1SG#SG COP1SG#غم+PREP SG#
ازفر	N$فر+PREP SG#
ازفرغول	N$فرغول+PREP SG#
ازفلک	N$فلک+PREP SG#
ازقدم	AJ$قد+PREP POS COP1SG#PREP POS PRO1SG#N$قد+PREP SG COP1SG#PREP SG PRO1SG#قدم+PREP SG#
ازقطره	N$قطره+PREP SG#
ازل	N$ل+PREP SG#لئیم+PREP PL#ازل+SG#
ازلا	N$لا+PREP SG#
ازلب	N$لب+PREP SG#
ازلت	N$ل+PREP SG PRO2SG#لئیم+PREP PL PRO2SG#لت+PREP SG#ازل+SG PRO2SG#
ازلست	AJ$لس+PREP POS PRO2SG#N$لس+PREP SG PRO2SG#ل+PREP SG COP3SG#لئیم+PREP PL COP3SG#ازل+SG COP3SG#
ازلش	AJ$لش+PREP POS#N$ل+PREP SG PRO3SG#لئیم+PREP PL PRO3SG#لش+PREP SG#ازل+SG PRO3SG#
ازلشکرش	N$لشکر+PREP SG PRO3SG#
ازلشکری	AJ$لشکری+PREP POS#N$لشکر+PREP SG COP2SG#PREP SG YEH#لشکری+PREP SG#
ازلفت	N$لف+PREP SG PRO2SG#لفت+PREP SG#
ازلم	N$ل+PREP SG COP1SG#PREP SG PRO1SG#لئیم+PREP PL PRO1SG#PREP PL COP1SG#لم+PREP SG#ازل+SG PRO1SG#SG COP1SG#
ازلمان	N$ل+PREP SG PRO1PL#لئیم+PREP PL PRO1PL#لم+PREP PL#ازل+SG PRO1PL#
ازلی	AJ$ازلی+POS#N$ازلی+SG#ل+PREP SG COP2SG#PREP SG YEH#لئیم+PREP PL YEH#PREP PL COP2SG#ازل+SG YEH#SG COP2SG#
ازلیت	N$ازلیت+SG#
ازلیست	AJ$ازلی+POS COP3SG#N$ازلی+SG COP3SG#ل+PREP SG YEH COP3SG#لیست+PREP SG#لئیم+PREP PL YEH COP3SG#ازل+SG YEH COP3SG#
ازلی‌ست	AJ$ازلی+POS COP3SG#N$ازلی+SG COP3SG#ل+PREP SG YEH COP3SG#لئیم+PREP PL YEH COP3SG#ازل+SG YEH COP3SG#
ازم	AJ$+PREP POS COP1SG#PREP POS PRO1SG#N$+PREP SG COP1SG#PREP SG PRO1SG#ناشنوائیان+PREP PL PRO1SG#PREP PL COP1SG#از+SG PRO1SG#SG COP1SG#
ازما	N$ما+PREP SG#
ازمان	AJ$+PREP POS PRO1PL#N$+PREP SG PRO1PL#ناشنوائیان+PREP PL PRO1PL#از+SG PRO1PL#
ازماه	N$ماه+PREP SG#
ازمایش	N$ما+PREP SG PRO3SG#
ازمرد	AJ$مرد+PREP POS#N$مرد+PREP SG#
ازمردمان	AJ$مرد+PREP POS PRO1PL#N$مرد+PREP SG PRO1PL#مردمان+PREP SG#
ازمرغ	N$مرغ+PREP SG#
ازمرگ	N$مرگ+PREP SG#
ازمسیح	N$مسیح+PREP SG#
ازمشک	N$مشک+PREP SG#
ازمعنی	N$معنی+PREP SG#
ازمغاک	N$مغاک+PREP SG#
ازمغفرم	N$مغفر+PREP SG COP1SG#PREP SG PRO1SG#
ازمن	N$من+PREP SG#
ازمنت	N$من+PREP SG PRO2SG#منت+PREP SG#
ازمنزل	AJ$منزل+PREP POS#N$منزل+PREP SG#
ازموی	N$مو+PREP SG EZ#PREP SG COP2SG#موی+PREP SG#
ازمیان	N$میان+PREP SG#می+PREP PL#
ازمیش	N$میش+PREP SG#
ازن	N$ازن+SG#
ازناز	AJ$ناز+PREP POS#N$ناز+PREP SG#
ازناف	N$ناف+PREP SG#
ازنافه	N$نافه+PREP SG#
ازناله	N$ناله+PREP SG#
ازناله‌ی	N$ناله+PREP SG EZ#PREP SG COP2SG#
ازنامداران	N$نامدار+PREP PL#
ازنامه	N$نامه+PREP SG#
ازنامور	AJ$نامور+PREP POS#N$نامور+PREP SG#
ازنخست	N$نخ+PREP SG COP3SG#
ازنخچیر	N$نخچیر+PREP SG#
ازند	AJ$+PREP POS COP3PL#N$+PREP SG COP3PL#ناشنوائیان+PREP PL COP3PL#ند+PREP SG#از+SG COP3PL#
ازنظر	N$نظر+PREP SG#
ازنم	N$ازن+SG PRO1SG#SG COP1SG#
ازنماز	N$نماز+PREP SG#
ازنهفت	N$نهفت+PREP SG#
ازنو	N$نو+PREP SG#
ازنوازش	N$نوازش+PREP SG#
ازنوش	N$نوش+PREP SG#
ازنیک	AJ$نیک+PREP POS#
ازهار	AJ$هار+PREP POS#N$ازهار+SG#هار+PREP SG#زهر+PL#
ازهد	AJ$ازهد+POS#N$هد+PREP SG#
ازهدا	N$هدا+PREP SG#
ازهر	AJ$ازهر+POS#N$هر+PREP SG#
ازهرش	AJ$ازهر+POS PRO3SG#N$هر+PREP SG PRO3SG#
ازهرم	AJ$ازهر+POS COP1SG#POS PRO1SG#N$هرم+PREP SG#هر+PREP SG COP1SG#PREP SG PRO1SG#
ازهرمز	N$هرمز+PREP SG#
ازهری	AJ$ازهر+POS COP2SG#POS YEH#N$هر+PREP SG COP2SG#PREP SG YEH#
ازهش	N$هش+PREP SG#
ازهم	N$هم+PREP SG#
ازهوس	N$هوس+PREP SG#
ازواج	N$واج+PREP SG#ازواج+SG#زوج+PL#
ازوجود	N$وجود+PREP SG#
ازور	N$ور+PREP SG#
ازوسمه	N$وسمه+PREP SG#
ازوی	N$وی+PREP SG#
ازویست	N$وی+PREP SG COP3SG#ویس+PREP SG PRO2SG#ویست+PREP SG#
ازویم	N$وی+PREP SG COP1SG#ویم+PREP SG#
ازویی	N$وی+PREP SG EZ#PREP SG COP2SG#
ازپر	AJ$پر+PREP POS#N$پر+PREP SG#
ازپزشک	N$پزشک+PREP SG#
ازپشت	N$پشت+PREP SG#پش+PREP SG PRO2SG#
ازپی	N$پی+PREP SG#
ازپیش	AJ$پیش+PREP POS#N$پیش+PREP SG#
ازکار	N$کار+PREP SG#
ازکارت	N$کار+PREP SG PRO2SG#
ازکاردار	N$کاردار+PREP SG#
ازکاردانان	N$کاردان+PREP PL#
ازکارشان	N$کار+PREP SG PRO3PL#
ازکام	N$کام+PREP SG#
ازکرد	N$کرد+PREP SG#
ازکردگار	N$کردگار+PREP SG#
ازکسی	N$کس+PREP SG COP2SG#PREP SG YEH#
ازکش	AJ$کش+PREP POS#N$ک+PREP SG PRO3SG#کش+PREP SG#
ازکشور	N$کشور+PREP SG#
ازکنشت	N$کنش+PREP SG PRO2SG#کنشت+PREP SG#
ازکه	AJ$+PREP POS CONJ#که+PREP POS#N$+PREP SG CONJ#ناشنوائیان+PREP PL CONJ#که+PREP SG#از+SG CONJ#
ازکهان	N$کهان+PREP SG#کاهن+PREP PL#
ازکوت	N$کوت+PREP SG#
ازکوشش	N$کوشش+PREP SG#کوش+PREP SG PRO3SG#
ازکیای	N$کیا+PREP SG EZ#PREP SG COP2SG#
ازکین	N$کین+PREP SG#
ازکیها	N$کی+PREP PL#
ازگاه	N$گاه+PREP SG#
ازگذشت	N$گذشت+PREP SG#
ازگروه	N$گروه+PREP SG#
ازگل	N$ازگل+SG#گل+PREP SG#
ازگلزار	N$گلزار+PREP SG#
ازگلستان	N$گلستان+PREP SG#
ازگمانی	N$گمان+PREP SG COP2SG#PREP SG YEH#
ازگهر	N$گهر+PREP SG#
ازگوشت	N$گوش+PREP SG PRO2SG#گوشت+PREP SG#
ازگوهر	N$گوهر+PREP SG#
ازگیا	N$گیا+PREP SG#
ازگیتی	N$گیتی+PREP SG#
ازی	AJ$+PREP POS YEH#PREP POS COP2SG#N$+PREP SG COP2SG#PREP SG YEH#ناشنوائیان+PREP PL YEH#PREP PL COP2SG#از+SG YEH#SG COP2SG#
ازیان	N$یان+PREP SG#
ازیرا	AJ$+PREP POS YEH POSTP#N$+PREP SG YEH POSTP#ناشنوائیان+PREP PL YEH POSTP#یرا+PREP SG#از+SG YEH POSTP#
ازیرت	N$یرت+PREP SG#
ازین	N$ین+PREP SG#
ازینان	N$ین+PREP PL#
ازینت	N$ین+PREP SG PRO2SG#
ازینتان	N$ین+PREP SG PRO2PL#
ازینست	N$ین+PREP SG COP3SG#
ازینش	N$ین+PREP SG PRO3SG#
ازینم	N$ین+PREP SG COP1SG#PREP SG PRO1SG#
ازینها	N$ین+PREP PL#
ازینکه	N$ین+PREP SG CONJ#
ازینی	N$ین+PREP SG COP2SG#PREP SG YEH#
ازینیم	N$ین+PREP SG YEH COP1SG#PREP SG COP1PL#
ازین‌ها	N$ین+PREP PL#
اس	N$اس+SG#
اسائت	N$اسائت+SG#
اسار	N$اسار+SG#
اساس	N$اساس+SG#
اساست	N$اساس+SG PRO2SG#
اساسش	N$اساس+SG PRO3SG#
اساسم	N$اساس+SG PRO1SG#SG COP1SG#
اساسی	AJ$اساسی+POS#N$اساس+SG YEH#SG COP2SG#
اساسیست	AJ$اساسی+POS COP3SG#N$اساس+SG YEH COP3SG#
اساطیر	N$اساطیر+SG#اسطور+PL#اسطوره+PL#
اساطیرست	N$اساطیر+SG COP3SG#اسطور+PL COP3SG#اسطوره+PL COP3SG#
اسافل	N$اسفل+PL#اسافل+SG#
اسالیب	N$اسلوب+PL#اسالیب+SG#
اسامی	N$اسامی+SG#اسم+PL#
اسان	N$اس+PL#
اسب	N$اسب+SG#
اسباب	N$سبب+PL#اسباب+SG#
اسبابست	N$سبب+PL COP3SG#اسباب+SG COP3SG#
اسبابش	N$سبب+PL PRO3SG#اسباب+SG PRO3SG#
اسبابم	N$سبب+PL COP1SG#PL PRO1SG#اسباب+SG PRO1SG#SG COP1SG#
اسبابها	N$اسباب+PL#
اسبابی	N$سبب+PL YEH#PL COP2SG#اسباب+SG YEH#SG COP2SG#
اسبابیم	N$سبب+PL COP1PL#PL YEH COP1SG#اسباب+SG COP1PL#SG YEH COP1SG#
اسباب‌ست	N$سبب+PL COP3SG#اسباب+SG COP3SG#
اسباغ	N$اسباغ+SG#
اسبان	N$اسب+PL#
اسبانش	N$اسب+PL PRO3SG#
اسبت	N$اسب+SG PRO2SG#
اسبست	N$اسب+SG COP3SG#
اسبش	N$اسب+SG PRO3SG#
اسبشان	N$اسب+SG PRO3PL#
اسبم	N$اسب+SG PRO1SG#SG COP1SG#
اسبها	N$اسب+PL#
اسبکی	AJ$اسبکی+POS#N$اسبک+SG YEH#SG COP2SG#
اسبی	N$اسب+SG YEH#SG COP2SG#
اسب‌سواران	N$اسب‌سوار+PL#
است	AJ$است+POS#N$است+SG#اس+SG PRO2SG#
استا	N$استا+SG#
استاخ	AJ$استاخ+POS#
استاد	AJ$استاد+POS#N$استاد+SG#
استادان	N$استاد+PL#
استادانه	AJ$استادانه+POS#
استادت	AJ$استاد+POS PRO2SG#N$استاد+SG PRO2SG#
استادست	AJ$استاد+POS COP3SG#N$استاد+SG COP3SG#
استادش	AJ$استاد+POS PRO3SG#N$استاد+SG PRO3SG#
استادم	AJ$استاد+POS COP1SG#POS PRO1SG#N$استاد+SG PRO1SG#SG COP1SG#
استادند	AJ$استاد+POS COP3PL#N$استاد+SG COP3PL#
استاده	AJ$استاده+POS#
استاده‌ام	AJ$استاده+POS COP1SG#POS PRO1SG#
استاده‌اند	AJ$استاده+POS COP3PL#
استاده‌ای	AJ$استاده+POS COP2SG#
استاده‌ایم	AJ$استاده+POS COP1PL#
استادگی	N$استادگی+SG#
استادی	AJ$استاد+POS COP2SG#POS YEH#N$استادی+SG#استاد+SG YEH#SG COP2SG#
استادیم	AJ$استاد+POS COP1PL#POS YEH COP1SG#N$استادی+SG COP1SG#استاد+SG COP1PL#SG YEH COP1SG#
استار	N$ستر+PL#استار+SG#
استاره	N$استاره+SG#
استارها	N$استار+PL#
استارهای	N$استار+PL COP2SG#PL EZ#
استاره‌اش	N$استاره+SG PRO3SG#
استاره‌ام	N$استاره+SG PRO1SG#SG COP1SG#
استاره‌ای	N$استاره+SG COP2SG#
استاره‌ایم	N$استاره+SG COP1PL#
استاره‌ها	N$استاره+PL#
استاره‌ی	N$استاره+SG EZ#SG COP2SG#
استارگان	N$استاره+PL#
استارگان‌ست	N$استاره+PL COP3SG#
استام	N$استام+SG#استا+SG COP1SG#
استامها	N$استام+PL#
استامی	N$استام+SG YEH#SG COP2SG#
استان	N$است+PL#اس+SG PRO2PL#استان+SG#
استانت	N$است+PL PRO2SG#استان+SG PRO2SG#
استانش	N$است+PL PRO3SG#استان+SG PRO3SG#
استانم	N$است+PL COP1SG#PL PRO1SG#اس+SG PRO2PL COP1SG#استان+SG PRO1SG#SG COP1SG#
استانی	N$است+PL YEH#PL COP2SG#اس+SG PRO2PL YEH#SG PRO2PL COP2SG#استان+SG YEH#SG COP2SG#
استانید	N$است+PL COP2PL#اس+SG PRO2PL COP2PL#استان+SG COP2PL#
استایش	N$استا+SG PRO3SG#
استایی	N$استا+SG YEH#
استبداد	N$استبداد+SG#
استبر	AJ$استبر+POS#
استبرق	N$استبرق+SG#
استبشار	N$استبشار+SG#
استبصار	N$استبصار+SG#
استبعاد	N$استبعاد+SG#
استبقای	N$استبقا+SG EZ#SG COP2SG#
استت	AJ$است+POS PRO2SG#N$است+SG PRO2SG#
استجابت	N$استجابت+SG#
استحسان	N$استحسان+SG#
استحقاق	N$استحقاق+SG#
استحقاقش	N$استحقاق+SG PRO3SG#
استحکام	N$استحکام+SG#
استخاره	N$استخاره+SG#
استخاره‌ی	N$استخاره+SG EZ#SG COP2SG#
استخراج	N$استخراج+SG#
استخفاف	N$استخفاف+SG#
استخوان	N$استخوان+SG#
استخوانت	N$استخوان+SG PRO2SG#
استخوانست	N$استخوان+SG COP3SG#
استخوانش	N$استخوان+SG PRO3SG#
استخوانشان	N$استخوان+SG PRO3PL#
استخوانم	N$استخوان+SG PRO1SG#SG COP1SG#
استخوانند	N$استخوان+SG COP3PL#
استخوانها	N$استخوان+PL#
استخوانهای	N$استخوان+PL COP2SG#PL EZ#
استخوانهایی	N$استخوان+PL YEH#
استخوانی	N$استخوان+SG YEH#SG COP2SG#استخوانی+SG#
استخوان‌بندی	N$استخوان‌بند+SG YEH#SG COP2SG#استخوان‌بندی+SG#
استخوان‌ست	N$استخوان+SG COP3SG#
استدراج	N$استدراج+SG#
استدلال	N$استدلال+SG#
استدلالتان	N$استدلال+SG PRO2PL#
استدلالش	N$استدلال+SG PRO3SG#
استدلالشان	N$استدلال+SG PRO3PL#
استدلالها	N$استدلال+PL#
استدلالی	AJ$استدلالی+POS#N$استدلال+SG YEH#SG COP2SG#
استدلالیست	AJ$استدلالی+POS COP3SG#N$استدلال+SG YEH COP3SG#
استدلال‌ها	N$استدلال+PL#
استر	N$استر+SG#
استراحت	N$استراحت+SG#
استراحتش	N$استراحت+SG PRO3SG#
استراق	N$استراق+SG#
استران	N$استر+PL#
استرانش	N$استر+PL PRO3SG#
استرت	N$استر+SG PRO2SG#
استرخا	N$استرخا+SG#
استرزاق	N$استرزاق+SG#
استرست	N$استر+SG COP3SG#استرس+SG PRO2SG#
استرش	N$استر+SG PRO3SG#
استرضا	N$استرضا+SG#
استرند	N$استر+SG COP3PL#
استره	N$استره+SG#
استرون	AJ$استرون+POS#N$استرون+SG#
استرک	N$استرک+SG#
استری	AJ$استری+POS#N$استر+SG YEH#SG COP2SG#
استسقاء	N$استسقاء+SG#
استسلام	N$استسلام+SG#
استش	AJ$است+POS PRO3SG#N$است+SG PRO3SG#
استشارت	N$استشارت+SG#
استشان	AJ$است+POS PRO3PL#N$است+SG PRO3PL#
استشهاد	N$استشهاد+SG#
استصواب	N$استصواب+SG#
استطابت	N$استطابت+SG#
استطاعت	N$استطاعت+SG#
استظهار	N$استظهار+SG#
استعارت	N$استعارت+SG#
استعانت	N$استعانت+SG#
استعانه	N$استعانه+SG#
استعباد	N$استعباد+SG#
استعجال	N$استعجال+SG#
استعداد	N$استعداد+SG#
استعلاج	N$استعلاج+SG#
استعمال	N$استعمال+SG#
استغاثت	N$استغاثت+SG#
استغاثه	N$استغاثه+SG#
استغاثه‌ی	N$استغاثه+SG EZ#SG COP2SG#
استغراق	N$استغراق+SG#
استغفار	N$استغفار+SG#
استغفارشان	N$استغفار+SG PRO3PL#
استغفارم	N$استغفار+SG PRO1SG#SG COP1SG#
استغفاری	N$استغفار+SG YEH#SG COP2SG#
استفاده‌ی	N$استفاده+SG EZ#SG COP2SG#
استفاضه	N$استفاضه+SG#
استفتاح	N$استفتاح+SG#
استفراغ	N$استفراغ+SG#
استفسار	N$استفسار+SG#
استفهام	N$استفهام+SG#
استقا	N$استقا+SG#
استقامت	N$استقامت+SG#
استقامتش	N$استقامت+SG PRO3SG#
استقامتم	N$استقامت+SG PRO1SG#SG COP1SG#
استقامتها	N$استقامت+PL#
استقامتهای	N$استقامت+PL COP2SG#PL EZ#
استقامتی	N$استقامت+SG YEH#SG COP2SG#
استقبال	N$استقبال+SG#
استقبالش	N$استقبال+SG PRO3SG#
استقبالشان	N$استقبال+SG PRO3PL#
استقبالم	N$استقبال+SG PRO1SG#SG COP1SG#
استقبالها	N$استقبال+PL#
استقرار	N$استقرار+SG#
استقلال	N$استقلال+SG#
استلام	N$استلام+SG#
استلزام	N$استلزام+SG#
استم	AJ$است+POS COP1SG#POS PRO1SG#N$است+SG PRO1SG#SG COP1SG#اس+SG PRO2SG COP1SG#استم+SG#
استماع	N$استماع+SG#
استماعش	N$استماع+SG PRO3SG#
استماعی	N$استماع+SG YEH#SG COP2SG#
استمالت	N$استمالت+SG#
استمالتست	N$استمالت+SG COP3SG#
استمالتی	N$استمالت+SG YEH#SG COP2SG#
استمالت‌های	N$استمالت+PL COP2SG#PL EZ#
استمت	N$استم+SG PRO2SG#
استمداد	N$استمداد+SG#
استمرار	N$استمرار+SG#
استمزاج	N$استمزاج+SG#
استناد	N$استناد+SG#
استنادی	N$استناد+SG YEH#SG COP2SG#
استنباط	N$استنباط+SG#
استنجا	N$استنجا+SG#
استنجاست	N$استنجا+SG COP3SG#
استنجای	N$استنجا+SG EZ#SG COP2SG#
استند	AJ$است+POS COP3PL#N$است+SG COP3PL#اس+SG PRO2SG COP3PL#
استنشاق	N$استنشاق+SG#
استنطاق	N$استنطاق+SG#
استهدا	N$استهدا+SG#
استوا	N$استوا+SG#
استوائی	N$استوا+SG YEH#
استوار	AJ$استوار+POS#N$استوار+SG#
استواران	N$استوار+PL#
استوارت	AJ$استوار+POS PRO2SG#N$استوار+SG PRO2SG#
استوارست	AJ$استوار+POS COP3SG#N$استوار+SG COP3SG#
استوارش	AJ$استوار+POS PRO3SG#N$استوار+SG PRO3SG#
استوارم	AJ$استوار+POS COP1SG#POS PRO1SG#N$استوار+SG PRO1SG#SG COP1SG#
استواری	AJ$استوار+POS COP2SG#POS YEH#N$استواری+SG#استوار+SG YEH#SG COP2SG#
استواریست	AJ$استوار+POS YEH COP3SG#N$استواری+SG COP3SG#استوار+SG YEH COP3SG#
استواست	N$استوا+SG COP3SG#
استوای	N$استوا+SG EZ#SG COP2SG#
استوایی	AJ$استوایی+POS#N$استوا+SG YEH#
استور	N$استور+SG#
استوران	N$استور+PL#
استوری	N$استور+SG YEH#SG COP2SG#
استون	N$استون+SG#
استکبار	N$استکبار+SG#
استکتاب	N$استکتاب+SG#
استکثار	N$استکثار+SG#
استکراه	N$استکراه+SG#
استکمال	N$استکمال+SG#
استکه	AJ$است+POS CONJ#N$است+SG CONJ#اس+SG PRO2SG CONJ#
استی	AJ$است+POS COP2SG#POS YEH#N$است+SG YEH#SG COP2SG#اس+SG PRO2SG COP2SG#SG PRO2SG YEH#استی+SG#
استیر	N$استیر+SG#
استیز	N$استیز+SG#
استیزت	N$استیز+SG PRO2SG#
استیزه	N$استیزه+SG#
استیزه‌ات	N$استیزه+SG PRO2SG#
استیصال	N$استیصال+SG#
اسحار	N$سحر+PL#اسحار+SG#
اسحارش	N$سحر+PL PRO3SG#اسحار+SG PRO3SG#
اسحارم	N$سحر+PL COP1SG#PL PRO1SG#اسحار+SG PRO1SG#SG COP1SG#
اسحاق	N$اسحاق+SG#
اسحاقش	N$اسحاق+SG PRO3SG#
اسحاقی	N$اسحاق+SG YEH#SG COP2SG#
اسحاق‌ام	N$اسحاق+SG COP1SG#
اسخیای	N$اسخیا+SG EZ#SG COP2SG#سخی+PL COP2SG#PL EZ#
اسد	N$اسد+SG#
اسدالله	N$اسدالله+SG#
اسدش	N$اسد+SG PRO3SG#
اسدی	N$اسد+SG YEH#SG COP2SG#
اسر	N$اسر+SG#اسیر+PL#
اسرا	N$اسیر+PL#اس+SG POSTP#اسرا+SG#
اسرائیلیان	N$اسرائیلی+PL#
اسرائیلیانند	N$اسرائیلی+PL COP3PL#
اسرار	N$سر+PL#اسرار+SG#
اسراران	N$اسرار+PL#
اسرارت	N$سر+PL PRO2SG#اسرار+SG PRO2SG#
اسرارست	N$سر+PL COP3SG#اسرار+SG COP3SG#
اسرارش	N$سر+PL PRO3SG#اسرار+SG PRO3SG#
اسرارشان	N$سر+PL PRO3PL#اسرار+SG PRO3PL#
اسرارم	N$سر+PL COP1SG#PL PRO1SG#اسرار+SG PRO1SG#SG COP1SG#
اسرارمی	N$سر+PL PRO1SG YEH#PL PRO1SG COP2SG#اسرار+SG PRO1SG COP2SG#SG PRO1SG YEH#
اسرارند	N$سر+PL COP3PL#اسرار+SG COP3PL#
اسرارها	N$اسرار+PL#
اسراری	N$سر+PL YEH#PL COP2SG#اسرار+SG YEH#SG COP2SG#
اسراریم	N$سر+PL COP1PL#PL YEH COP1SG#اسرار+SG COP1PL#SG YEH COP1SG#
اسراف	N$اسراف+SG#
اسرافست	N$اسراف+SG COP3SG#
اسرافیل	N$اسرافیل+SG#
اسرها	N$اسر+PL#
اسری	N$اسر+SG YEH#SG COP2SG#اسیر+PL YEH#PL COP2SG#
اسست	N$اس+SG COP3SG#
اسطخر	N$اسطخر+SG#
اسطقس	N$اسطقس+SG#
اسطوره‌ی	N$اسطوره+SG EZ#SG COP2SG#
اسعاد	N$اسعاد+SG#
اسعادی	N$اسعاد+SG YEH#SG COP2SG#
اسعد	AJ$اسعد+POS#N$اسعد+SG#
اسعدت	AJ$اسعد+POS PRO2SG#N$اسعد+SG PRO2SG#
اسعدش	AJ$اسعد+POS PRO3SG#N$اسعد+SG PRO3SG#
اسعدی	AJ$اسعد+POS COP2SG#POS YEH#N$اسعد+SG YEH#SG COP2SG#
اسعدیم	AJ$اسعد+POS COP1PL#POS YEH COP1SG#N$اسعد+SG COP1PL#SG YEH COP1SG#
اسف	N$اسف+SG#
اسفار	N$اسفار+SG#سفر+PL#
اسفل	AJ$اسفل+POS#N$اسفل+SG#
اسفلی	AJ$اسفل+POS COP2SG#POS YEH#N$اسفل+SG YEH#SG COP2SG#
اسفند	N$اسفند+SG#اسف+SG COP3PL#
اسفندیار	N$اسفندیار+SG#
اسفندیارت	N$اسفندیار+SG PRO2SG#
اسفندیارست	N$اسفندیار+SG COP3SG#
اسفندیارش	N$اسفندیار+SG PRO3SG#
اسفندیارم	N$اسفندیار+SG PRO1SG#SG COP1SG#
اسفندیاری	N$اسفندیار+SG YEH#SG COP2SG#
اسقاط	AJ$اسقاط+POS#N$اسقاط+SG#سقط+PL#سقت+PL#
اسقام	N$سقم+PL#اسقام+SG#
اسقف	N$اسقف+SG#
اسقفی	N$اسقف+SG YEH#SG COP2SG#
اسلاف	N$سلف+PL#اسلاف+SG#
اسلافست	N$سلف+PL COP3SG#اسلاف+SG COP3SG#
اسلافش	N$سلف+PL PRO3SG#اسلاف+SG PRO3SG#
اسلافند	N$سلف+PL COP3PL#اسلاف+SG COP3PL#
اسلافی	N$سلف+PL YEH#PL COP2SG#اسلاف+SG YEH#SG COP2SG#
اسلام	N$اسلام+SG#
اسلامان	N$اسلام+PL#
اسلامش	N$اسلام+SG PRO3SG#
اسلامم	N$اسلام+SG PRO1SG#SG COP1SG#
اسلامی	AJ$اسلامی+POS#N$اسلام+SG YEH#SG COP2SG#
اسلم	AJ$اسلم+POS#N$اسلم+SG#اسل+SG PRO1SG#SG COP1SG#
اسلمت	AJ$اسلم+POS PRO2SG#N$اسلم+SG PRO2SG#
اسلو	N$اسلو+SG#
اسم	N$اس+SG PRO1SG#SG COP1SG#اسم+SG#
اسما	N$اسم+PL#
اسماء	N$اسماء+SG#اسم+PL#
اسماست	N$اسم+PL COP3SG#
اسماعیل	N$اسماعیل+SG#
اسماعیلی	AJ$اسماعیلی+POS#N$اسماعیل+SG YEH#SG COP2SG#اسماعیلی+SG#
اسماعیلیانم	N$اسماعیلی+PL COP1SG#PL PRO1SG#
